Company_name,Company_size,Img_Url,Industry,Job_function,Job_type,Location,Salary,Title,apply_link
Talkspace,51 to 200 Employees,"/static/img/banners/default-ei-banner.jpg,https://media.glassdoor.com/sql/1284778/talkspace-squarelogo-1497516850457.png",Health Care,counselor,Full-time,"Bismarck, ND",$28K - $52K ,Counselor,https://www.glassdoor.com/partner/jobListing.htm?pos=120&ao=1044074&s=58&guid=000001776d5c7cce8777ecb03647cfd5&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_df4a78a6&cb=1612447564727&jobListingId=3771926113
Super Kids Jr Academy,N/A,/static/img/banners/default-ei-banner.jpg,N/A,other,Part-time,"Bismarck, ND",,Exciting opening for 3 Part Time Specialists to have fun with children!,Easy Apply
Talkspace,51 to 200 Employees,"/static/img/banners/default-ei-banner.jpg,https://media.glassdoor.com/sql/1284778/talkspace-squarelogo-1497516850457.png",Health Care,counselor,Full-time,"Bismarck, ND",$28K - $52K ,Counselor,https://www.glassdoor.com/partner/jobListing.htm?pos=120&ao=1044074&s=58&guid=000001776d5c7cce8777ecb03647cfd5&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_df4a78a6&cb=1612447565784&jobListingId=3771926113
Cassia,5001 to 10000 Employees,"/static/img/banners/default-ei-banner.jpg,https://media.glassdoor.com/sql/3334656/cassia-mn-squarelogo-1606941234779.png",Health Care,medical assistant,Full-time,"Bismarck, ND",,"Certified Medication Assistant (CMA), FT Day",https://www.glassdoor.com/partner/jobListing.htm?pos=122&ao=1044074&s=58&guid=000001776d5c7cce8777ecb03647cfd5&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_db7dbb6b&cb=1612447566771&jobListingId=3807983610
Talkspace,51 to 200 Employees,"/static/img/banners/default-ei-banner.jpg,https://media.glassdoor.com/sql/1284778/talkspace-squarelogo-1497516850457.png",Health Care,psychologist,Full-time,"Bismarck, ND",$62K - $115K ,Counselor Psychologist,https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=1044074&s=58&guid=000001776d5c7cce8777ecb03647cfd5&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_4c15602f&cb=1612447566956&jobListingId=3771713058
Yanish Custom Exteriors,N/A,/static/img/banners/default-ei-banner.jpg,N/A,installer,Full-time,"Bismarck, ND",,Lead Carpenter/ Window Installer,Easy Apply
Prestwich Orthodontics,N/A,/static/img/banners/default-ei-banner.jpg,N/A,dental assistant,Part-time,"Bismarck, ND",,Dental Assistant,Easy Apply
Prestwich Orthodontics,N/A,/static/img/banners/default-ei-banner.jpg,N/A,dental assistant,Part-time,"Bismarck, ND",,Dental Assistant,Easy Apply
Talkspace,51 to 200 Employees,"/static/img/banners/default-ei-banner.jpg,https://media.glassdoor.com/sql/1284778/talkspace-squarelogo-1497516850457.png",Health Care,psychologist,Full-time,"Bismarck, ND",$62K - $115K ,Counselor Psychologist,https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=1044074&s=58&guid=000001776d5c7cce8777ecb03647cfd5&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_4c15602f&cb=1612447569550&jobListingId=3771713058
Talkspace,51 to 200 Employees,"/static/img/banners/default-ei-banner.jpg,https://media.glassdoor.com/sql/1284778/talkspace-squarelogo-1497516850457.png",Health Care,psychologist,Full-time,"Bismarck, ND",$62K - $115K ,Counselor Psychologist,https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=1044074&s=58&guid=000001776d5c7cce8777ecb03647cfd5&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_4c15602f&cb=1612447569702&jobListingId=3771713058
Cassia,5001 to 10000 Employees,"/static/img/banners/default-ei-banner.jpg,https://media.glassdoor.com/sql/3334656/cassia-mn-squarelogo-1606941234779.png",Health Care,medical assistant,Full-time,"Bismarck, ND",,"Certified Medication Assistant (CMA), FT Day",https://www.glassdoor.com/partner/jobListing.htm?pos=122&ao=1044074&s=58&guid=000001776d5c7cce8777ecb03647cfd5&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_db7dbb6b&cb=1612447566543&jobListingId=3807983610
Yanish Custom Exteriors,N/A,/static/img/banners/default-ei-banner.jpg,N/A,installer,Full-time,"Bismarck, ND",,Lead Carpenter/ Window Installer,Easy Apply
Prestwich Orthodontics,N/A,/static/img/banners/default-ei-banner.jpg,N/A,dental assistant,Part-time,"Bismarck, ND",,Dental Assistant,Easy Apply
